"Subject"	"Activity"	"variable"	"value"
1	"WALKING"	"timeBodyAccmeanX"	0.277330758736842
3	"WALKING"	"timeBodyAccmeanX"	0.275567462068965
5	"WALKING"	"timeBodyAccmeanX"	0.27784234625
6	"WALKING"	"timeBodyAccmeanX"	0.283658868070175
7	"WALKING"	"timeBodyAccmeanX"	0.275592961754386
8	"WALKING"	"timeBodyAccmeanX"	0.27468631
11	"WALKING"	"timeBodyAccmeanX"	0.271821892881356
14	"WALKING"	"timeBodyAccmeanX"	0.271959598644068
15	"WALKING"	"timeBodyAccmeanX"	0.273899207962963
16	"WALKING"	"timeBodyAccmeanX"	0.276023564509804
17	"WALKING"	"timeBodyAccmeanX"	0.272341855245902
19	"WALKING"	"timeBodyAccmeanX"	0.273931172307692
21	"WALKING"	"timeBodyAccmeanX"	0.279183526730769
22	"WALKING"	"timeBodyAccmeanX"	0.27886459
23	"WALKING"	"timeBodyAccmeanX"	0.273211884237288
25	"WALKING"	"timeBodyAccmeanX"	0.278992759054054
26	"WALKING"	"timeBodyAccmeanX"	0.279264443728814
27	"WALKING"	"timeBodyAccmeanX"	0.276849485438596
28	"WALKING"	"timeBodyAccmeanX"	0.281228223888889
29	"WALKING"	"timeBodyAccmeanX"	0.271999916792453
30	"WALKING"	"timeBodyAccmeanX"	0.276406758
2	"WALKING"	"timeBodyAccmeanX"	0.276426586440678
4	"WALKING"	"timeBodyAccmeanX"	0.278582015166667
9	"WALKING"	"timeBodyAccmeanX"	0.278502842115385
10	"WALKING"	"timeBodyAccmeanX"	0.278574076603774
12	"WALKING"	"timeBodyAccmeanX"	0.2771286656
13	"WALKING"	"timeBodyAccmeanX"	0.275883130350877
18	"WALKING"	"timeBodyAccmeanX"	0.273887758571429
20	"WALKING"	"timeBodyAccmeanX"	0.272589336470588
24	"WALKING"	"timeBodyAccmeanX"	0.276980816034483
1	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.255461689622641
3	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.260819873067797
5	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.268459469914894
6	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.268229355098039
7	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.248706923078431
8	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.258880152048781
11	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.263775859277778
14	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.26242106612963
15	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.270187595833333
16	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.255986102627451
17	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.252604768583333
19	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.242118808925
21	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.265194544680851
22	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.248391534566667
23	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.249995171031373
25	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.277995411384615
26	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.272691394545455
27	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.265770253921569
28	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.262005841764706
29	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.265423066877551
30	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.271415642261538
2	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.247164790395833
4	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.270876696730769
9	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.262436475714286
10	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.267121853404255
12	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.272970338653846
13	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.258203939581818
18	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.265401201896552
20	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.252098317156863
24	"WALKING_UPSTAIRS"	"timeBodyAccmeanX"	0.269881106779661
1	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.289188320408163
3	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.292423484693878
5	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.29354392712766
6	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.277045258145833
7	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.28030708
8	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.283484089210526
11	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.291605631956522
14	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.293422115555556
15	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.280198851190476
16	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.295586802191489
17	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.29391828326087
19	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.262688053871795
21	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.3014610196
22	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.284458963861111
23	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.289897411148148
25	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.291329666206897
26	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.2792845828
27	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.2975441875
28	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.293642076521739
29	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.293140441083333
30	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.283190646967742
2	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.27761534806383
4	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.279965329555556
9	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.295923445
10	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.290401594315789
12	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.281521097391304
13	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.294907553404255
18	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.288439468909091
20	"WALKING_DOWNSTAIRS"	"timeBodyAccmeanX"	0.296144421355556
